geoid,name,B02009001,"B02009001, Error"
04000US18,Indiana,696710,1622
05000US18001,"Adams County, IN",374,54
05000US18003,"Allen County, IN",50623,400
05000US18005,"Bartholomew County, IN",2391,245
05000US18007,"Benton County, IN",112,23
05000US18009,"Blackford County, IN",109,73
05000US18011,"Boone County, IN",1333,32
05000US18013,"Brown County, IN",137,16
05000US18015,"Carroll County, IN",178,73
05000US18017,"Cass County, IN",782,13
05000US18019,"Clark County, IN",10148,107
05000US18021,"Clay County, IN",294,21
05000US18023,"Clinton County, IN",428,141
05000US18025,"Crawford County, IN",51,33
05000US18027,"Daviess County, IN",662,64
05000US18029,"Dearborn County, IN",581,24
05000US18031,"Decatur County, IN",211,21
05000US18033,"DeKalb County, IN",190,105
05000US18035,"Delaware County, IN",9719,177
05000US18037,"Dubois County, IN",479,146
05000US18039,"Elkhart County, IN",14532,208
05000US18041,"Fayette County, IN",663,61
05000US18043,"Floyd County, IN",5147,102
05000US18045,"Fountain County, IN",118,18
05000US18047,"Franklin County, IN",50,46
05000US18049,"Fulton County, IN",298,69
05000US18051,"Gibson County, IN",1014,24
05000US18053,"Grant County, IN",6171,159
05000US18055,"Greene County, IN",237,62
05000US18057,"Hamilton County, IN",14615,164
05000US18059,"Hancock County, IN",2046,111
05000US18061,"Harrison County, IN",240,157
05000US18063,"Hendricks County, IN",11224,549
05000US18065,"Henry County, IN",1614,42
05000US18067,"Howard County, IN",7397,178
05000US18069,"Huntington County, IN",416,35
05000US18071,"Jackson County, IN",602,15
05000US18073,"Jasper County, IN",491,102
05000US18075,"Jay County, IN",142,21
05000US18077,"Jefferson County, IN",851,24
05000US18079,"Jennings County, IN",436,121
05000US18081,"Johnson County, IN",3832,182
05000US18083,"Knox County, IN",1378,39
05000US18085,"Kosciusko County, IN",1218,125
05000US18087,"LaGrange County, IN",92,75
05000US18089,"Lake County, IN",125196,743
05000US18091,"LaPorte County, IN",14148,166
05000US18093,"Lawrence County, IN",420,83
05000US18095,"Madison County, IN",12363,128
05000US18097,"Marion County, IN",277882,904
05000US18099,"Marshall County, IN",622,111
05000US18101,"Martin County, IN",63,72
05000US18103,"Miami County, IN",2031,56
05000US18105,"Monroe County, IN",6563,190
05000US18107,"Montgomery County, IN",642,96
05000US18109,"Morgan County, IN",622,31
05000US18111,"Newton County, IN",68,47
05000US18113,"Noble County, IN",235,109
05000US18115,"Ohio County, IN",77,56
05000US18117,"Orange County, IN",335,18
05000US18119,"Owen County, IN",250,76
05000US18121,"Parke County, IN",414,114
05000US18123,"Perry County, IN",687,149
05000US18125,"Pike County, IN",167,47
05000US18127,"Porter County, IN",7539,407
05000US18129,"Posey County, IN",576,91
05000US18131,"Pulaski County, IN",142,59
05000US18133,"Putnam County, IN",1430,131
05000US18135,"Randolph County, IN",363,51
05000US18137,"Ripley County, IN",236,139
05000US18139,"Rush County, IN",288,82
05000US18141,"St. Joseph County, IN",39593,291
05000US18143,"Scott County, IN",247,96
05000US18145,"Shelby County, IN",706,20
05000US18147,"Spencer County, IN",235,64
05000US18149,"Starke County, IN",170,21
05000US18151,"Steuben County, IN",114,46
05000US18153,"Sullivan County, IN",952,132
05000US18155,"Switzerland County, IN",173,82
05000US18157,"Tippecanoe County, IN",10998,224
05000US18159,"Tipton County, IN",135,81
05000US18161,"Union County, IN",8,10
05000US18163,"Vanderburgh County, IN",19913,161
05000US18165,"Vermillion County, IN",97,55
05000US18167,"Vigo County, IN",9226,92
05000US18169,"Wabash County, IN",349,33
05000US18171,"Warren County, IN",73,48
05000US18173,"Warrick County, IN",1274,27
05000US18175,"Washington County, IN",202,103
05000US18177,"Wayne County, IN",4494,71
05000US18179,"Wells County, IN",282,26
05000US18181,"White County, IN",209,21
05000US18183,"Whitley County, IN",275,24
